categories,review
['pirate theme'],great pirate game
"['pirate theme', 'entertainment value']",be wary of a good amount of bugs it being ubisoft and all but it 's still a very fun game i mean who doesn 't like to be a pirate and swashbuckle other ships it still doesn 't have whirlpools though 8 /10
"['assassin theme', 'graphics', 'entertainment value']",easily the best assasins creed title yet eveything feels so polished and crisp it really is an experience to play trhrough especially with hud settings turned off
"['graphics', 'full screen']",does it not have a fullscreen setting i hope i 'm just retarded but my 10 -year-old creed game has been updated three times this year and it can 't match the resolution to my ultra -wide monitor to save its life and there 's no full screen setting again please tell me i 'm stupid and show me where to find such settings until then im not playing this game
"['errors', 'uplay']",ubisoft connect sucks won 't play on the steam deck even after trying different workarounds like turning wifi off so the activation code stops nagging you ubisfot connect sssssuuuuuccccckkkkkss !!!!1!1one
['no topic'],so it would seem
"['pirate theme', 'storyline', 'exploration', 'graphics', 'entertainment value']",everybody 's already said it but it bears repeating the boat stuff in ac black flag is immensely fun the series gets a lot of flak for stagnation and yearly installments but you can tell this one was made by people who really wanted to make something new and exciting sailing the seas attacking forts and boarding other ships finding buried treasure and listening to your crew sing various shanties as the rising sun burns fog off the water 's surface is something that 's actually pretty unique in video games any complaints i could have about black flag are mostly related to some legacy ac stuff there 's about two dozen too many tailing or eavesdropping missions and the controls are slightly improved but still randomly has a bit of that trademark series stiffness thankfully everything involving being a salty sea dog out for the next big score looks plays and controls wonderfully strongly recommended go plunder some booty (and then play this game
"['series', 'storyline', 'optimization', 'graphics']",one of the best assassin 's creed series because it is different than the other games story is great edward is great and ship battles are amazing graphic is good but this game is badly optimized like other assassin 's creed games from series but it 's worth
"['errors', 'storyline']",i might recommend it if it worked the game just doesn 't play in the state it 's in if you can even make it past ubisofts broken launcher and the first cutscene without the game crashing and freezing your entire pc then you have to contend with broken subsequent launching
['no topic'],30 liraya aldığımız eski oyunu liraya vermek steame yakışır zaten dolar belli zaten 140 liraya ben serisini almıştım arkadaşlar bu kadar para vermeyin gerek yok crack indirin oyunları co op olan oyunlara verin parayı gerisi hikaye
"['series', 'uplay', 'storyline']","pre-review note  i didn 't have issues with the game that other reviews especially recent ones have been pointing out and in all reality uplay isn 't as terrible as people say it is you just have to download it make an account and if all goes well you 'll never have to worry about it again just don 't forget to put your game keys for additional content in the uplay menu took me a good long while to figure that one out  tl ;dr  hated the game the first time played it a second time years later loved it  actual review (gold edition  when i got this game for console when it first came out i despised it but i kept playing it hoping it would get better after a while eventually i beat the game and walked away dissapointed enjoying only the naval side of the game these feelings towards the game actually turned me off from the series as i had already felt the series was losing its touch since the release of assassin 's creed iii (yes, i was an ezio fanboy and hated to see him go fast forward several years it goes on sale on steam and i decide to go ahead and pick it up to give the game another shot needless to say i fell in love with it the second time the story was much better than i remembered the characters weren 't as dull as i originally thought they were and i was unable to tear myself from the game this time whereas i was forcing myself to finish it the first time at the end of my second playthrough with 100 completion and 55 hours logged i found myself much more satisfied than i originally was the game was well worth the second purchase so if you were like me and hated the game the first time give it a second shot if you are thinking about it you will more than likely find yourself satisfied with another playthrough"
"['storyline', 'pirate theme', 'combat', 'exploration', 'difficulty', 'stealth', 'series']","not only the best assassin 's creed entry since brotherhood but an excellent pirate game in its own right the story and characters are far and away the most well -done out of any of the previous acs and the open world aspects are substantial and engaging while pirating itself is done well fleet commanding leaves a lot to be desired and the present -day sections (in true ac fashion can feel like a distraction from the main game though there is not a huge incentive to explore many of the smaller islands outside of 100 completition other side quests and city exploration make up for it my biggest critique is that apart from optional objectives and quests where detection results in failure stealth is rarely the best option the combat --while fluid and enjoyable --is easy enough that edward will have pretty much no problem with any group size as long as you are attentive that said the combat is very visceral and well -animated, and enjoyable despite it 's lack of challenge overall an excellent title and easily one of the best assassin 's creed games to date the non -desmond based story makes it ideal for new players entering the series as well"
"['pirate theme', 'combat', 'exploration', 'character']",comeback for this game and i never thought this game has a huge map i tried hire all thugs in town and the girls along the street let the thugs fights all the british army meanwhile the girls try to seduce them i tried to do multitasking everytime after i do that i tried to farm some items to upgrade my ship suddenly the situation become 1 v 4 meanwhile my ship still vanilla (i havent upgrade my ship guess karma really exist even inside this game wait till i continue my journey even more
['uplay'],"only problem with this game on pc is ubisoft connect it keeps asking you to log in but you can 't, because when you put in your password it says a ubisoft service is currently unavailable please try again later and it works like randomly once a day"
['no topic'],awesome game
"['storyline', 'pirate theme', 'frame rate', 'graphics', 'series']",one of the best ac games of all times especially if you loved the naval missions at ac -3. if you are a fan of 'sea legends (1996) then you might like the naval part too the storyline is very smooth and involves quite a few plot twists for the first time you are not a nobel or a rebel just a greedy pirate who seeks personal gain in every task perhaps one of the most impressive facts about this game is the map size as in addition to the 3 large cities you also have access to few dozen small towns /islands and entire sea map that you can travel to conquest ships of unlucky brits or spaniards though it is a pity that there are no portugese dutch or french ships trespassing the caribbean sea on cons you no longer have your recruits to fight for you but there is a solid reaon for it major downside is the frame rate even on a powerful laptop i have experienced occassional minor frame rate issues so i would advise to purchase this game for a video console instead in order to max out the graphics on a pc i have set the 'environmental settings down to medium and left the rest at high / very high even though there were no visual bugs i could not enjoy the small environmental details that would make this game absolutelly superb overall the game is great and definatelly worth playing however brotherhood remains my favourite game of the series
"['series', 'movement']",2 oyuna göre guzel ama parkur efektleri guzelleşmiş ama kolaylasmıs dusmanlar ise daha akıllı hamleler yapabiliyor sadece parkurun kolaylasmıs olması kotu 2 de zırhlı adamlara bos bos vuruyorduk ve monotondu bize bişi yapamıyodu ama bizde uzun surede olduruyoduk
"['errors', 'uplay']",i can 't launch the game uplay show up and say the procedure entry point createdxgifactory2 could not be located what does he think of me technician i just want to play not fix something
['no topic'],game is great ubisoft is a cancer to humanity launch steam and it prompts you to use an activation key for the ubisoft launcher which i don 't have fine download ubisoft 's terrible launcher which asks me to verify my email address on this pc 'code has been sent to email no email to be found not in my primairy social or spam folder wait +/- 30min it finally shows up activate my account does the game work now nope do i get an error message nope anything nope press play via steam and it just redericts you to the ubi launcher which doesn 't do anything oh and to top it all off it asks you to verify your email on every log in attempt and if you misspell your password more than 2 times it temporally blocks your account for 24 hours so now i can 't even play the fucking game i 've paid for if i could cure world hunger or somehow burn every ubisoft building to the ground i 'd go for the last option
['no topic'],edward so hot
['entertainment value'],not much to say just a genious game so both thumbs high each level a new surprise and all the staff you can do outside of main missions is very nice hunting bull shark is just wow and i cant do it to often with my age without risking a heart attack :d this game ist just to recommend buy it in sale or out of it this game is worth every cent
"['pirate theme', 'storyline', 'combat', 'exploration', 'graphics', 'music']",when i played assassin 's creed 3 i said to myself 'i hope they make a whole game centered around this amazing naval combat when black flag was announced my excitement and anticipation was highly optimistic after playing black flag i can honestly say it 's by far my favorite assassin 's creed title and quite possibly the best game of the entire series ubisoft has hit every nail squarely with their design decisions for ac4 starting with a new badass main character that rivals the charm toughness and intriguing story of the ezio era the connor character from ac3 was likable in few ways compared to kenway the naval system and combat was improved and given a much larger focus in ac4 as to be expected in a game about pirates the vast scale of the map will blow you away the first time you zoom out to find your location and realize how large this open world is once i took to the seas i immediately found myself unable to stop playing the atmosphere is amazing storm clouds rolling whales jumping ships sailing and battling each other all while your crew sings the most catchy shanties that will have you singing along i seriously loved just casually sailing looking for collectables while listening to my crew sing speaking of collectables they introduced a perfect pirates tie in for collection quests in the form of actual treasure maps the maps would give you a general coordinate to search but to find the treasure you 'll have to study the map and your surroundings looking for landmarks to find the x that marks the spot other collectables included animus fragments sea shanties lyrics messages in bottles and money chests these aren 't hidden collectables but they are scattered all over the open world and add more story for those completion fans now it wouldn 't be an ac game without assassination missions while the games best moments occur on the seas it 's by no means saying the assassin parts are bad they are quite excellent granted the games combat mechanics have not changed or evolved much since it 's inception but that 's not a bad thing entirely they simply want to stick with what works and are not trying to reinvent the wheel of the ac franchise the assassin segments do a great job of adding variety to the environments spanning huge caribbean cities jungle villages island fishing towns and underwater caves the one definitive thing about black flag is you 'll never be without something cool to see or do i didn 't even mention multiplayer yet which is still the same solid game it 's been since revelations my only complaint about black flag was they couldn 't give a us pirate ship multiplayer battle mode all i can say is 'i hope they make a whole multiplayer game centered around this amazing naval combat
['pirate theme'],pirates simulator 2008 10 /10
"['storyline', 'uplay']",">put in 50 hours think to yourself 'man, what a great game and ubisoft isn 't a dick >turn up game next day all progress lost >cry >i'll give it ubisoft /10"
"['pirate theme', 'storyline', 'series', 'character', 'uplay']",first to black flag itself its a nice game if you like the pirate setting the story itself is ok kenway has its good and bad sides but at all the story is way to short and you need to grind alot i liked it but normaly i dislike grinding stuff and want just a great story the story start good becomes better and then ...its going down for the most to the end all the feel you had from start is gone and then its over ....without grinding you could end the game withing 6 -12 hours but you cant you need better ship gear so you can battle the other ships in the story mission would i recomend it yeah its technicly ac1 +2+3+ships. now to aveline whats wrong with you ubisoft guys wasting this girl on another nonsense part of the game 40 minutes of non saying story ...yeah the ps vita port was ok and you wasted her there alot but here tell her story in a full game she is such a nice character i would love to play the full game with her then a warning freedom cry dosnt work well as season pass extra buy the standalone or you will miss video and sound files like fighting sounds ....and some videos so remember buy the standalone if you want to play freedom cry
"['storyline', 'errors', 'frame rate', 'series']",this is one of the best if not the best ac game out there even with its old age it is truly with great sadness that i type this review but the game is at its current state completely unplayable on pc the kenway fleet missions have become unavailable and the game suffers from a frame drop issue that genuinely makes the experience unbearable unfortunately there seems to be no hope of any fixes since the team has basically abandoned one of their greatest creations this game is amazing but i would recommend getting it on a console instead if possible but getting on pc should not be an option all there is now is to hope for a remaster of the game one day
['entertainment value'],love it
['uplay'],the game cannot be redeemed on ubisoft connect due to a activation issue that has existed for almost a year now ('unable to register game because ubisoft server is unavailable as a result the game (including bonus dlc content cannot be activated and played from steam accounts this is a great game (played it through twice previously but unfortunately it seems you 'll have to buy it on ubisoft connect to play
['pirate theme'],aarrrrrrrrrrr i am a pirate now
"['pirate theme', 'storyline', 'character', 'combat', 'exploration', 'graphics', 'entertainment value', 'stealth']",october 29 2013 that is the day ubisoft has released the best assassin 's creed game of all time when i saw the trailer for the first time i knew it is a game i could not miss you play as edward kenway a daring and fearless pirate who will not back down the story is truly amazing and there is never a boring moment each character in the game has a unique appearance controls are easy to use the gameplay is engaging fun and wild players can visit stunning places edwards ship named the jackdaw is a unique ship the ship battles in the game are truly spectacular you feel like you are an actual pirate that is instructing your crew to do what ever its takes to win the battle overall the game is designed and well -constructed from every angle which is another great point about the game finally assassin 's creed iv black flag is an astonishing experience and it will be one of the best stealth -adventure games out there
"['series', 'uplay', 'errors']",ac 4 black flag is one of my favorite games unfortunately it was published by ubisoft recently it appears that they have released an update that has broken it for everybody me included (i've tested it they should be punished for that some of them should go to jail for this i will never buy another ubisoft game and neither should you let them know you are not just stupid consumers but that you are people and what they have done is not bad publicity is criminal
['no topic'],
['uplay'],we're unable to register this game to your ubisoft account right now as the ubisoft server is unavailable please try again later solved without any efforts from my side just ubisoft servers decided to accept my cd -key today looking for the controls template for this game for the deck now
['no topic'],war crimes
"['storyline', 'graphics', 'entertainment value']",best ac ever
"['combat', 'pirate theme', 'storyline', 'exploration', 'character', 'graphics', 'optimization', 'errors', 'series', 'entertainment value']","+standard ac combat system with parries and different weapons but proven sufficient and fluid +whole open sea pirating idea is done perfectly in the atmosphere +charismatic, relatable and interesting main protagonist with hunting dilemmas everlasting greed lust for power and moral difficulties +best feeling in the whole series ive played was cruising on jackdaw aimlessly +there are many leisures to spend money and resources on (weapons, armor ship mansion etc +lots different type of enemies (spanish, english soldiers ships naval forts etc +quite long main game even without extras +lots of extras (treasure maps contracts mayan puzzles armors side quests etc -some glitches here and there that really not a big deal but still existing -main protagonist still cant see the logic to use ladder instead of a unclimblable wall even though i spesifically drive him to it -swords are mostly useless after getting a good one (which i bought in the first 1 hour and never changed it -not rpg game but they tried to add some little rpg elements here and there but unsuccessful -fleet 'mini game really feels like farmville and lacks the depth -npcs are not that rememberable and influencial in gamers mind (blackbears should be more on the front imo all in all i think ac4 is the best game in complete series (march 2017 9 /10"
"['storyline', 'combat', 'series', 'character', 'entertainment value']",the senario isn 't that good compared to ezio trilogy but i wasn 't expecting it to be that good neither those three games were fantastic however the gameplay is seriously good and being the captain of a ship makes you play only this game also multiplayer is really good especially compared to old ones you can customize your character a lot more in the multiplayer of this
['pirate theme'],['you really feel like you are a pirate so careless and free to do what ever you want the best pirate game ever']
"['series', 'optimization', 'bugs', 'movement']",best ac title now we can say ac 4 is a real 'sand-box' game all kinds of contents has improved a lot but still ubi need to focus to catch their bugs also some parts of main playing system like free -running and battle action are tied -up.
"['storyline', 'uplay', 'graphics', 'customer support']",in a world without gold we might 've been heroes main game 8 /10 shanties 10 /10 tavern music 10 /10 really really great game not recommend because ubisoft is selling gold edition but has shut down the server so you can not verify your ownership of any dlcs plus ubisoft sell freedom cry as a standalone game which is already included in black flag gold edition beware black flag gold edition and freedom cry are both in the assassin 's creed bundle ubisoft is charging you extra money one more reason not to purchase assassin 's creed bundle (just to clarify according to ubisoft 's announcement this game wasn 't on the list of 'shut down old games servers yet i still couldn 't verify any of my black flag dlcs from october to november
['no topic'],its great :smile: now
"['optimization', 'frame rate']",it 's a good game the main problem are the missleading suystem reccomended specifications here on steam following rant what are the reccomended specifications for running this at 720p 30fps i have a gtx 570 i7 2600k and 8gbs of ram and just get it to run on medium details 1080p 30fps with v -sync on and around 40s with it off if you want 1080p medium -high details at a solid 60fps a gtx 680 or r9 280x is a minimum
"['storyline', 'combat', 'exploration', 'uplay', 'graphics', 'customer support', 'entertainment value']",i might be a bit late to the party but i recently picked this up on sale i have not been this immersed in a single player video game for a while assassin 's creed black flag is tons of fun whether it 's the excellent story or wonderful side activities if i was not bombing the heck out of british war ships i 'd be on my row boat spearing killer whales or salvaging treasure from under -water shipwrecks 30 hours of game play in 5 days and it was all worth it i did not have any issues with the steam u -play link like other users everything worked flawlessly i have 0 complaints about this game i highly recommend you give black flag a shot
"['pirate theme', 'storyline', 'uplay', 'series', 'exploration', 'character', 'combat', 'movement']","i had many issues getting this game to work inculding 1 with uplay seems lots of other people had issues like this too but the game itself is amazing i was never a fan of the series but the pirate theme got my attention the story is quite lengthy which is rare to find in games these days and the huge open world is full of life many naval battles going on out at sea assassins still fighting templars hunting crafting exploring finding tresure maps side missions /stories ect also its based in the tropics so very colorful world also plenty of customization and upgrading for your character and ship its still very assassins creed game and combat system is the same but if the rest sounds intersting to you maybe pick in up when on sale sometimes movement ,jumping and climbing over objects and terrain is a little buggy which sucks when your tryna escape or go stealth thats my only complaint besides having trouble getting it to launch"
"['series', 'combat', 'exploration', 'graphics', 'animals', 'entertainment value']",i 've played all the assassin 's creed installments previous to this one and i have enjoyed this one the most (ezio is second best i loved the size of the world and the large number of quests and missions i was afraid the boat fighting would be clunky like in assassin 's creed 3 but it was actually very fun it was satisfying taking down larger ships with speed and better tech i also really enjoyed the setting in the caribbean with great artistry on the landscapes and on the water even the animals were fun to kill or just watch i highly recommend this game
"['storyline', 'uplay']",assassin 's creed was an amazing game until they removed access to your dlc that you paid for on 1 september 2022 this is fraud and we should be suing ubisoft for this blatantly illegal act
"['pirate theme', 'assassin theme']",great pirate game still an assassins creed game but has so much more to offer greatly enjoying it
"['series', 'storyline']",my favorite assassins creed game tbh well i didnt play the odissey one (not sure if i spelled it right lol anyways since this is a message from the past (depending on when you are reading it this game is the best for me untill thet make an assassins creed in feudal japan i shall wait and will edit this review once it comes out you 'll know why sooooon hopefully sooner than u think update played the odyssey one it 's pretty cool i enjoyed it greek mythology sure is awesome but hey i want the feudal japan one i still think it will come out xd soon enough next update on this review tba
"['storyline', 'combat', 'exploration', 'graphics']",lets keep this one simple its assassins creed you guys know it im sure everyone has tried one of the games in the series at some point the story for this one is very interesting ubisoft seems to have changed gameplay up and made the game far more open world so you have the normal assassins creed parkour mixed with hack and slash fighting mechanics with a good and interesting storyline of the battle through the ages of the templars vs the assassins the story is solid making reference to historical characters and events you even meet the real life characters that made piracy so compelling as a storyline throughout the ages after playing through this i feel that it was a much stronger game than every other assassins creed game i played and i own the entire series what did i like about it the storyline while starting off dragging its heels a little was very interesting it almost felt like a movie to me characters were fantastic i loved them all the voice actors did a fine job the actual fighting on land was typical of any assassins creed game here nothing new i found this average at best ship to ship combat and travel was immense this was the most interesting part for me at least braving a tropical storm at sea while in a battle firing cannons at an enemy ship was breathtaking i enjoyed the fact you could attack any ship you wanted i felt this made the game more open and enjoyable ship upgrades were a much needed addon and ubisoft delivered on this no more running from a battle with a larger more powerful ship later on in the game once you have the upgrades needed to take down such ships the deck battles after weakening a ship i found better than the land battles as it just felt right for the the time and location and scenario of the game the side missions as usuall were and interesting touch and i found myself constantly starying from the main story to chase these and complete them while not ruining my enjoyment of the game at all the graphics and sound effects were excellent but you can expect the same movements and similar textures to previous titles but dont be put off ubisoft once again have done a great job makign everything and everyone look good what i didnt like average land combat although the flint lock pistols added some fun it can get repetetive quite fast and i found myself itching to get back on the water to take down a man o war spanish warship everytime the story seemed somewhat short this is usually a case with most assassins creed games they seem to end the story rather short all in all i enjoyed this game it was a very different approach to what im used to with the assassins creed series and what i would say if you are considering this game its a no brainer really to just buy it and play through it at least once that rounds up my review i 'll give this one 8 out of 10
['pirate theme'],best part about the game was the sailing i highly recommend
['uplay'],bought a game through steam so much to my surprise the clowns at ubisoft make you find the cd key and input into their crap system too since we all know ubisoft is prob the worst programmer don 't expect them to intergrate with steam also love having to sign into ubisoft every time i want to play since those morons don 't have a remember me or keep me signed in feature
"['pirate theme', 'assassin theme', 'storyline']",a game about the life of a pirate during the golden age of piracy with a neat little assassins versus templars sub -plot. game changes to modern day sections every now and then for no reason detracts from the experience slightly but otherwise is good
"['gameplay', 'storyline', 'series']",i spent about 40 hours playing this game gameplay wise it 's great the gameplay is the same engine as ac3 edward kenway controls the same as haytham connor kenway the ship traveling is the same mechanic but improved greatly sailing island to island ship combat boarding an enemy ship plundering all their loot is a lot of fun something i did probably over 50 times the gameplay is perfect no complaints here i wouldn 't spend 40 hours if the gameplay was flawed the big part of every ac game is the story and i have kind of mixed feelings about the story here on one hand it 's a great story with great characters that takes place in the assassin 's creed universe but the whole assassins vs templars thing isn 't necessarily the main plot going on all of the supporting characters are interesting but i have these complaints with it 1 the main villain of the story is barely seen only a few times through out the entire game we really don 't get to know much about him which is a major contrast to how well we got to know previous ac villains especially the villains in ac3 which we knew quite well only revelations had a villain we knew less about 2 for that matter pretty much all of the antagonists don 't really get much screen time while some characters become good guys others become bad guys very little time is devoted to developing any of the other characters that aren 't one of the main 5 or so characters 3 the motive is kind of hard to understand it starts out simple 'i want booty gotta get rich or die trying and it progresses into something more complicated but it skips a lot of steps that explain why edward has a change of heart and develops into a more mature character at one point in the end of the game one of the villains makes a comment that he 's lost everyone in his life thanks to him the other villains but that 's not true he was already divorced /separated from his wife before the game started a few of his friends died or betrayed him but it wasn 't necessarily due to anything the villains or edward did it was the villain taking credit for what wasn 't his to take credit for at some points edward shows that he cares about people in his life and at other points acts like nobody matters to him but himself and i 'm trying to not spoil anything but come on ac games always have plot twists and characters dying having gotten these flaws out of the way it 's still a very fun game i 'm actually curious where they 're going with the modern day 2013 storyline again where as the 2012 storyline in ac3 was pretty boring ubisoft has said they 've thought of an ending that will be final ultimate but i have a feeling they 're going to keep milking out yearly ac titles until the cash cow runs dry ala call of duty at any rate ac unity looks pretty damn good i 'll be getting it probably around christmas final verdict 8 .4/10 better than ac1 ac3 but the ezio trilogy still reigns supreme
"['errors', 'uplay']",whatever you do do not buy this game it is a trap uplay has cancered this game and pretty much ruined it for many players i have tried a plethora of 'solutions' given by so many sources and i can 't even launch the game before it crashes the game forces you to have uplay on and running while you play the game is there no such thing as gamer trust anymore this game is great but uplay has ruined it (i had this game on xbox for awhile but then i had to sell it
"['errors', 'uplay']",would have been a great game if i could have played it ubisoft has some server issue where it won 't even allow you to activate the key it kept saying server unavailable lots of complaints in the discussions about it all steps were taken and it still wouldn 't work had to refund this game which sucks i really wanted to try this out this was about two days ago and has been happening since early june from what i could see
"['storyline', 'exploration', 'combat', 'uplay', 'graphics', 'customer support']","pros: fantastic pirate story naval exploration combat man o war legendary ship battles present day story additonal lore beautiful visuals and environment really cool soundtrack sea shanties great ui wolfpack multiplayer mode cons: uplay confusing editions and dlc management couple of ship /npc spawn glitches many unskippable cutscenes computer hacking mini -games board games all other multiplayer modes special review section for ubisoft games : should you play ? definitely should you buy ??? yes but on a sale comment: far less of an assassin game more of a pirate game stealth is needed much much less here except for some mission contraints that is good for people who wanted more of an action game inspiration comes from the naval missions in ac3 and this is basically the core gameplay element for ac4 however unlike ac3 this game is a sunny with a vast world to explore you have a hideout too but i barely ever went there your ship is your real home right from the start you can pickup collectibles loot chests and do side missions each of these tasks is neatly accounted for in the stats and visible for each area this makes picking up all the stuff really seemless and that is a big plus checklists are still present but under a really neat ui they are also varied enough to not feel repetitive that is except for boarding ships due to the unskippable cutscenes you can fast travel in both the world map and the town /island map (viewpoints are used here however ship travel is just so much fun i rarely ever used the world map to fast travel this time around you are not a good guy not really you are an opportunistic pirate that murders all the time and it works there is no need to save lives and edward kenway is still likeable in his own way the story is great and i got plunged into the world easily and for a long time it is a shame that a lot of the 'current world story is hidden behind bad hacking mini -games. they are not hard just annoying and they waste time these could easily just have been skipped and the lore given to the player right away and not only that after finishing the game i was left with a 32 /33 counter (got all the files though turns out it can bug out if you do these during the sequences so just do them all after you finish the campaign for multiplayer i can say it stays the same as in ac3 it 's mostly not good wolfpack is somewhat fun and they also added infection and chest defense into it but while the former is okay the latter is terrible general multiplayer is just waiting in queues and overall not much fun anyway ubisoft was dishing out various editions and dlc ever since they made uplay but this time around you need a chart to know what you have and want you see some nitpicking but that is because the game is fantastic so it is easier to find the little things that could be better so don 't get discouraged by the flaws they are minor and i really had a blast playing this game while time just flew by the epic feeling of hard naval battles is something i have not experienced in any other game yet definitely recommended p.s.: to activate the deluxe edition and season pass content take each of the cd -keys steam shows you go to uplay and then to activate a key restart the game and you should see dlc info pop up deluxe edition dlcs : aveline (new character missions illustrious pirates pack (missions items season pass dlcs : kraken ship pack (ship items freedom cry (new campaign illustrious pirates pack (missions items crusader florentine pack (weapons items death vessel pack (ship items guild of rogues (multiplayer characters if you are in the us there is a gold edition that has both deluxe and season pass dlcs . uplay unlockable dlcs : edward the legend outfit (skin), the blades of toledo pack (weapons), the vengeful daughter pack (multiplayer outfit ship items not obtainable community challenge items : explorer outfit captain 's wheellock pistols persian scimitars black and red sails el impoluto 's figurehead el impoluto 's wheel not purchasable : edward kenway the assassin pirate figurine (haytham kenway 's overcoat edward kenway 's unique swords aquila sails blackbeard the legendary pirate figurine (royal fortune sails queen anne sails the benjamin sails for the complete list of content for this game go here *note: if you buy the season pass the dlcs that you can install but the store page will not show as owned are freedom cry illustrious pirates pack and guild of rogues if you liked this review you can find more on the curator page  or in my review corner ."
['uplay'],ubisoft connect suspended my ubisoft acccount for no reason after purchasing this game
"['uplay', 'no topic']",its overall an ok game but i had a lot of trouble with uplay if they would fix the system they have i wouldnt be trying to make the game work for fucking 30 minutes or maybe they could just remove uplay because its supposed to be something optional im not happy about this and i wouldnt do it again
"['pirate theme', 'storyline', 'series', 'graphics', 'uplay']",a maserpiece one of the best pirate games out there with stunning graphics an interesting story some memorable characters and especially the naval combat system is awesome edward kenway 's badassness has led me to fall in love with this game and made me play other ac series as well personally i don 't like collectibles put in -game just to extend the playtime but i 've put my best effort to collect every single thing in this game i 've spent hours and hours completing achievements and accomplished a 100 synchronization which i normally don 't do if only this was not developed by ubisoft fuck you ubisoft give me back my 100 sync save file
"['optimization', 'graphics', 'storyline', 'entertainment value']",(8/10) far less buggy than the games before or after it and with a ton of content that includes multiple sea shanties there 's a lot to like with this one
['no topic'],do not buy currently ubisoft servers are not accessible which leaves the main story unplayable at 15 aprox as you have to access the servers to view your fleet it wont work and you cannot progress do not buy you cant play this game currently 15 of a game is not worth buying it
"['assassin theme', 'pirate theme', 'storyline', 'graphics', 'entertainment value']",this is one of the greatest game i have ever played i have never spent over 10 hours straight on any game before until playing this this is unlike any other assassins creed game made before it the naval and sea battles are a massive part of this game and i love it the effects and gameplay cut scenes and story graphics and detail just about everything you look for in a good game is here and ten times over it is vast and endless and will end up racking up some serious hours on this game the things you can do on this game are unreal even if you didn 't like other assassins creed games or have never even played one you must get this hours upon hours of fun
"['combat', 'pirate theme', 'storyline', 'music', 'series', 'difficulty', 'entertainment value']",great gameplay epic naval combat that is too hard to get bored of it the carrabiean environment is just awesome 10 /10 on the sounds the soundtrack and the shanties as well super boring sometimes during missions where you 've to tail enemies boats /soldiers for the story edward 's timeline is pretty good the last 3 sequences are very nice specifically the ending is pretty nice and emotional the futuristic timeline is not good at all imo the game lost it after ac iii anyways lol overall it 's a great expericne and should be played even if you have never played assassin 's creed before
"['storyline', 'graphics', 'exploration']",i think its fair to say i recommend this game as not only has it entered my top 5 games ever it has a good claim on being the best game i 've ever played it ’s a phenomenally rich and detailed pirate sandbox which takes the typical assassin 's creed formula (of which i am a fan but adds a twist edward is a different kind of protagonist for this series he 's instantly likable as a rogue looking to further his own ends but there is depth to the man he has a conscience and watching him grow as a character makes for a compelling story technically i ’m amazed by what the developers have managed to do the seamless transition between captaining a ship to the traditional assassin 's creed free -running is incredible the simulation of the sea is a marvel as the rolling waves the wind and storms look and feel amazing make no mistake if you have the rig to run it this game looks absolutely beautiful there is so much to see and do in this game its almost impossible to get bored there is such a vast area to explore as of right now i think i 've clocked 30 hours and i ’m just under a third the way through the game
"['series', 'exploration', 'storyline', 'entertainment value']",assassin 's creed iv is one of the best games of the series a combination of adventure and exploration tied in with the story gives this game versatility over the others overall i highly recommend
"['graphics', 'combat', 'assassin theme']","wonderful graphically amazing and the gameplay is on point i do wish the world had a slight more open feel as opposed to mission -based, and the ability to save whenever you please and go back but those are unfair expectations of an assassins creed game"
"['storyline', 'pirate theme', 'combat', 'character', 'series']",i feel like this game is a love it or hate it kind of game i always see such high praise about it but i myself feel no love for 95 of the game i 'll explain why with some minor spoilers ahead so i 've played all the past ac games and enjoy the gameplay the first time i can remember experiencing something in an ac game i didn 't particularly enjoy was the ship tutorial in ac3 i hated that segment and was very glad it was optional to use the ship throughout the game unfortunately i went into ac4 thinking that the ship would be optional it most definitely wasn 't. i knew the game dealt with piracy but for some reason didn 't look up just how much of the gameplay was based on the ship but because it 's such a big part of the game it made me dislike the game if i 'm on land for a huge portion of time then yay fun times when i have to board the jackdaw and i don 't have fast travel unlocked for wherever i have to go groooooooan so needless to say i did as little ship play as possible and avoided upgrading it as much as possible also your crew sings sea shanties not necessarily a bad thing until you 've a heard that one particular song too many times or b been stuck on this one part for too long and that one jerk starting up a shanty nearly every time you return to checkpoint is pushing you over the edge luckily you can tell them to shut up which i didn 't realize until late in my playthrough i dislike the main mechanic but aside from that i wasn 't too fond of the story you play as edward kenway who is a pirate who wants to be rich he 's obsessed with scoring a big stash of gold to support his girl back home who didn 't want him to leave in the first place that 's really all there is to this character to me he wasn 't likeable and the story all revolved around him needing money so much even the more interesting characters in the game are sidelined while he goes hunting some big score for a series that delves into history so much and introduces you to so many intersting characters i feel they fell kind of short here but that (much like my strong hatred of the ship battles is obviously just my opinion otherwise the game is what you 'd expect from ac there 's hunting back again from ac3 combat is similar to previous games weapons from previous games etc if you 've played ac you know what you 're getting into and there 's nothing really stand out here so if you 're looking for a pirate game where you can sail around and have giant ship battles and plundering booty this is a good game for you if you want to play ac but also want to be a pirate you 're in luck if you 're like me and you hated the ship gameplay in three i 'd avoid this one (and ac rogue
